keyword,career
design,UI/UX Designer
art,UI/UX Designer
creative,UI/UX Designer
data,Data Analyst
python,Data Analyst
statistics,Data Analyst
ai,AI Engineer
machine,AI Engineer
learning,AI Engineer
emotion,Counselor or Psychologist
emotional,Counselor or Psychologist
help,Counselor or Psychologist
mental,Counselor or Psychologist
business,Business Strategist
startup,Entrepreneur
market,Entrepreneur
write,Content Writer or Author
author,Content Writer or Author
story,Content Writer or Author
robotics,Robotics Engineer
hardware,Embedded Systems Engineer
finance,Financial Analyst
investment,Financial Analyst
biology,Biotech Researcher
sustainability,Sustainability Consultant
environment,Sustainability Consultant
ideation,Product Manager
strategy,Product Manager
counsel,Counselor or Psychologist
